model_a_id,model_b_id,sense,len_a,len_b,overlap,percent_overlap_a,percent_overlap_b,num_exons_a,num_exons_b,exon_overlap,exon_len_a,exon_len_b,perc_exon_overlap_a,perc_exon_overlap_b
chr_101+CDS2,chr_101+CDS2,-,639,639,639,1.0,1.0,1,1,639,639,639,1.0,1.0
chr_101+CDS7,chr_101+CDS7,-,900,900,900,1.0,1.0,2,2,843,843,843,1.0,1.0
chr_101+CDS8,chr_101+CDS8,+,870,870,870,1.0,1.0,1,1,870,870,870,1.0,1.0
chr_101+CDS11,chr_101+CDS11,-,938,938,938,1.0,1.0,2,2,861,861,861,1.0,1.0
chr_101+CDS13,chr_101+CDS12,-,1635,1635,1635,1.0,1.0,4,4,1197,1197,1197,1.0,1.0
chr_101+CDS16,chr_101+CDS14,+,2371,2371,2371,1.0,1.0,3,3,2241,2241,2241,1.0,1.0
chr_101+CDS18,chr_101+CDS15,+,1837,1837,1837,1.0,1.0,7,7,1503,1503,1503,1.0,1.0
chr_101+CDS19,chr_101+CDS16,-,1042,1042,1042,1.0,1.0,3,3,906,906,906,1.0,1.0
chr_101+CDS21,chr_101+CDS18,+,672,672,672,1.0,1.0,1,1,672,672,672,1.0,1.0
chr_101+CDS22,chr_101+CDS19,-,1731,1731,1731,1.0,1.0,1,1,1731,1731,1731,1.0,1.0
chr_101+CDS25,chr_101+CDS22,-,1441,1441,1441,1.0,1.0,2,2,1386,1386,1386,1.0,1.0
chr_101+CDS26,chr_101+CDS23,+,1626,1626,1626,1.0,1.0,1,1,1626,1626,1626,1.0,1.0
chr_101+CDS27,chr_101+CDS24,+,720,720,720,1.0,1.0,1,1,720,720,720,1.0,1.0
chr_101+CDS30,chr_101+CDS27,-,3465,3465,3465,1.0,1.0,3,3,3351,3351,3351,1.0,1.0
chr_101+CDS31,chr_101+CDS28,-,1218,1218,1218,1.0,1.0,1,1,1218,1218,1218,1.0,1.0
chr_101+CDS32,chr_101+CDS29,+,1234,1234,1234,1.0,1.0,5,5,966,966,966,1.0,1.0
chr_101+CDS33,chr_101+CDS30,+,924,924,924,1.0,1.0,1,1,924,924,924,1.0,1.0
chr_101+CDS36,chr_101+CDS32,-,4641,4641,4641,1.0,1.0,1,1,4641,4641,4641,1.0,1.0
chr_101+CDS37,chr_101+CDS33,+,1431,1431,1431,1.0,1.0,3,3,1308,1308,1308,1.0,1.0
chr_101+CDS38,chr_101+CDS34,-,781,781,781,1.0,1.0,4,4,624,624,624,1.0,1.0
chr_101+CDS39,chr_101+CDS35,+,2114,2114,2114,1.0,1.0,3,3,2013,2013,2013,1.0,1.0
chr_101+CDS40,chr_101+CDS36,+,1624,1624,1624,1.0,1.0,3,3,1527,1527,1527,1.0,1.0
chr_101+CDS41,chr_101+CDS37,+,836,836,836,1.0,1.0,3,3,666,666,666,1.0,1.0
