model_a_id,model_b_id,sense,len_a,len_b,overlap,percent_overlap_a,percent_overlap_b,num_exons_a,num_exons_b,exon_overlap,exon_len_a,exon_len_b,perc_exon_overlap_a,perc_exon_overlap_b
chr_101+CDS1,chr_101+CDS1,-,3903,3903,3903,1.0,1.0,3,3,3804,3342,3342,0.8785488958990536,1.0
chr_101+CDS3,chr_101+CDS3,+,1597,2102,1597,1.0,0.7597526165556613,2,3,1533,1683,1525,0.994781474233529,0.9061200237670826
chr_101+CDS4,chr_101+CDS4,-,3510,4323,3510,1.0,0.8119361554476058,2,3,3444,4137,3444,1.0,0.8324873096446701
chr_101+CDS5,chr_101+CDS5,-,1235,858,858,0.6947368421052632,1.0,4,2,786,594,594,0.7557251908396947,1.0
chr_101+CDS6,chr_101+CDS6,+,966,877,874,0.9047619047619048,0.9965792474344356,1,2,966,813,810,0.8385093167701864,0.996309963099631
chr_101+CDS8,chr_101+CDS8,+,873,873,870,0.9965635738831615,0.9965635738831615,1,1,873,873,870,0.9965635738831615,0.9965635738831615
chr_101+CDS9,chr_101+CDS9,-,1751,1634,1551,0.8857795545402627,0.9492044063647491,2,2,1701,1584,1524,0.8959435626102292,0.9621212121212122
chr_101+CDS10,chr_101+CDS10,+,1529,1529,1526,0.9980379332897319,0.9980379332897319,2,4,1476,1305,1302,0.8821138211382114,0.9977011494252873
chr_101+CDS15,chr_101+CDS13,-,1033,1046,1033,1.0,0.9875717017208413,4,3,762,756,651,0.8543307086614174,0.8611111111111112
chr_101+CDS16,chr_101+CDS14,+,2374,2374,2371,0.9987363100252739,0.9987363100252739,3,3,2244,2244,2241,0.9986631016042781,0.9986631016042781
chr_101+CDS18,chr_101+CDS15,+,1840,1840,1837,0.9983695652173913,0.9983695652173913,7,7,1506,1506,1503,0.99800796812749,0.99800796812749
chr_101+CDS21,chr_101+CDS18,+,675,675,672,0.9955555555555555,0.9955555555555555,1,1,675,675,672,0.9955555555555555,0.9955555555555555
chr_101+CDS24,chr_101+CDS21,+,4368,4431,4365,0.9993131868131868,0.9851049424509141,4,4,4176,4239,4173,0.9992816091954023,0.9844302901627743
chr_101+CDS26,chr_101+CDS23,+,1629,1629,1626,0.998158379373849,0.998158379373849,1,1,1629,1629,1626,0.998158379373849,0.998158379373849
chr_101+CDS27,chr_101+CDS24,+,723,723,720,0.995850622406639,0.995850622406639,1,1,723,723,720,0.995850622406639,0.995850622406639
chr_101+CDS28,chr_101+CDS25,-,2418,2418,2418,1.0,1.0,6,5,2157,2184,2132,0.9884098284654613,0.9761904761904762
chr_101+CDS29,chr_101+CDS26,-,1357,854,851,0.6271186440677966,0.9964871194379391,6,2,1041,561,554,0.5321805955811719,0.9875222816399287
chr_101+CDS32,chr_101+CDS29,+,1237,1237,1234,0.9975747776879548,0.9975747776879548,5,5,969,969,966,0.9969040247678018,0.9969040247678018
chr_101+CDS33,chr_101+CDS30,+,927,927,924,0.9967637540453075,0.9967637540453075,1,1,927,927,924,0.9967637540453075,0.9967637540453075
chr_101+CDS34,chr_101+CDS31,+,1708,2874,1669,0.9771662763466042,0.580723729993041,2,6,1656,2238,1561,0.9426328502415459,0.6974977658623771
